# week, sectorid, diam_T, e1_T, e2_T, e3_T, e4_T, cc_T, diam, e1, e2, e3, e4, cc 
1.0000,6102.0000,16.0000,6.7153,6.8952,6.7539,7.0893,0.0000,10.0000,4.8991,4.9000,5.3933,5.3010,0.6048
2.0000,6102.0000,17.0000,6.8891,6.9025,6.9212,6.8656,0.0000,8.0000,4.9366,5.2081,4.8771,5.0156,0.5899
3.0000,6102.0000,16.0000,7.1400,6.7207,6.7691,7.1818,0.0000,8.0000,5.1280,4.9539,4.9672,4.9264,0.5746
4.0000,6102.0000,18.0000,6.8527,6.7872,6.7270,6.7160,0.0000,9.0000,4.8277,4.9807,4.8760,4.8550,0.5491
5.0000,6102.0000,14.0000,6.7362,6.7774,6.6861,6.6891,0.0000,7.0000,4.8117,4.7778,4.9322,4.8750,0.4859
6.0000,6102.0000,15.0000,6.6791,6.8186,6.7543,6.6570,0.0000,7.0000,5.2028,4.9101,5.2771,4.9283,0.5529
7.0000,6102.0000,18.0000,6.6512,6.7045,6.6587,6.7366,0.0000,8.0000,4.9851,5.1167,4.9646,4.9884,0.6008
8.0000,6102.0000,16.0000,6.6831,6.7555,6.8746,6.8058,0.0000,8.0000,4.7618,4.7663,4.9202,4.8646,0.6106
9.0000,6102.0000,15.0000,6.8010,6.7210,6.6992,6.6999,0.0000,8.0000,4.7839,4.8821,4.8351,4.8175,0.6083
10.0000,6102.0000,19.0000,6.8037,6.7618,6.7965,6.8855,0.0000,11.0000,5.1725,5.5393,5.1215,4.9841,0.6085
11.0000,6102.0000,16.0000,6.9317,6.9812,6.7965,6.8577,0.0000,9.0000,4.9968,5.1660,4.9309,5.1189,0.6287
12.0000,6102.0000,16.0000,6.8093,6.8604,6.7285,6.9479,0.0000,8.0000,4.9997,4.9180,5.0308,5.1349,0.6271
13.0000,6102.0000,15.0000,6.8626,6.9008,6.8415,6.7645,0.0000,7.0000,5.0014,4.9202,4.9623,5.0712,0.6261
14.0000,6102.0000,19.0000,6.9439,6.8124,6.8032,6.9363,0.0000,11.0000,5.6768,5.1170,5.6854,5.2431,0.6412
15.0000,6102.0000,20.0000,6.5354,6.8299,6.5525,6.6476,0.0000,10.0000,4.9236,4.8566,5.4729,4.8415,0.6536
16.0000,6102.0000,19.0000,6.5662,6.6697,6.7420,6.6980,0.0000,9.0000,4.6668,4.8893,4.8608,4.7867,0.6492
17.0000,6102.0000,21.0000,6.5829,6.4856,6.6945,6.5572,0.0000,11.0000,4.7517,4.6653,4.8031,4.5409,0.6462
18.0000,6102.0000,16.0000,6.6522,6.9959,6.4258,6.7595,0.0000,9.0000,4.6929,4.7724,4.7099,4.7212,0.6603
19.0000,6102.0000,15.0000,6.4325,6.5961,6.5599,6.4554,0.0000,8.0000,4.7095,4.6144,4.6920,4.3904,0.6657
20.0000,6102.0000,14.0000,6.3509,6.4384,6.4886,6.4810,0.0000,9.0000,4.3864,4.4064,4.4437,4.3768,0.6793
