sector,NUser,NClick/万,CPC,Revenue/万,sector-name,subsector-names,words
5101,1097,3,327,1230,安保服务,保安护卫-安保服务综合,保安公司-北京保安公司-上海保安公司-保安-保镖公司-苏州保安公司-北京保安-上海保安-东莞保安公司-保镖
5102,6059,13,337,4549,安保器材,安检设备-防暴设备-警用设备-防身用品-管制刀具-枪支弹药-安保器材综合,电击棍-金属探测器-安检门-防身器材-金属探测仪-洗眼器-地下金属探测器-电击棒-防爆门-防爆摄像机
5103,902,1,401,481,安全防伪,防伪包装材料-防伪查询服务-安全防伪综合,防伪标签-防伪-二维码防伪-防伪标识-防窜货-防伪标志-防伪商标-防伪标-激光防伪标签-防伪印刷
5104,22493,66,270,18219,防盗报警,防盗设备-报警设备-监控设备-门禁设备-身份证识别设备-楼宇对讲系统-停车场管理系统-通道系统-边坡防护-防盗报警综合,防盗门-立体车库-门禁系统-电子围栏-道闸-石笼网-监控摄像头-手机管家流量监控-门禁-监控安装
5105,14037,26,323,8713,交通消防,防汛器材-救生器材-防护器材-交通警示设施-消防工程-交通消防综合,岗亭-防辐射服-消防器材-灭火器-遮阳棚-交通设施-减速带-消防泵-防毒面具-消防工程
5106,3248,6,317,2095,智能楼宇,智能楼宇-智能楼宇综合,智能家居-智能家居系统-弱电工程-智能手环-智能家居品牌-智能滑行器-智能家居产品-家居智能-智能家居加盟-智能家电
5201,14030,46,243,11538,办公设备,办公通讯设备-办公文件设备-办公投影设备-办公展示设备-办公考勤设备-办公设备耗材-办公设备综合,3d打印机-打印机-投影仪-投影机-复印机租赁-条码打印机-切纸机-标签打印机-指纹考勤机-考勤机
5202,10249,19,263,5264,教具,少儿教具-展示教具-书写教具-艺教用品-生医教具-多媒体设备-教学模型-实验仪器-职教器材-教具综合,电子天平-实验室设备-声测管-建筑模型-黑板-地图-沙盘模型-上海精密科学仪器有限公司-天平保险-白板
5203,9326,21,176,3809,文具,文件装整-办公本薄-办公用纸-书写用品-桌面用品-财务用品-文具综合,圆珠笔加工-文件柜-档案柜-购车费用计算器-铁皮柜-橡皮艇-档案盒-贴贴瘦-房贷计算器-龙布峰针贴
5301,220,37,76,3003,彩票,体彩-福彩-彩票综合,双色球-体育彩票-大乐透-彩票双色球-乐彩网-福利彩票-竞彩网-双色球走势图-体彩-中国福利彩票
5401,14764,128,214,27836,物流,专线物流-公路运输-铁路运输-水路运输-航空运输-国内快递-国际快递-物件运输-仓储配送-搬运装卸-冷藏物流-宠物托运-综合服务型物流-物流网-物流综合,家具-物流公司-苏宁-国际快递-12306铁路客户服务中心-东方航空-轿车托运-北京物流公司-dhl-联邦波尔美
